Song Name,Artist,Genre
Hurricane - Radio Edit,"Dzeko & Torres, Sarah McLeod","dutch house,edm,electro house,melbourne bounce,pop dance,progressive electro house,progressive house,sky room,australian dance"
Midnight Memories,One Direction,"boy band,pop,post-teen pop,talent show"
Mama,B.J. Thomas,"adult standards,bubblegum pop,classic country pop,folk rock,mellow gold,soft rock"
When Something Is Wrong With My Baby,Jimmy Barnes,australian rock
HIGHEST IN THE ROOM,Travis Scott,"hip hop,rap,slap house"
TiK ToK,Kesha,"dance pop,pop"
Some Type of Love,Charlie Puth,"pop,viral pop"
California Dreamin' - Single Version,The Mamas & The Papas,"classic rock,folk,folk rock,mellow gold,psychedelic rock,rock,soft rock,sunshine pop"
Mona,Craig McLachlan;Check 1-2,
Free Ride,The Edgar Winter Group,"album rock,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,heartland rock,mellow gold,soft rock"
Stay with Me,Jasmine Thompson,viral pop
Already Gone,Powderfinger,"australian alternative rock,australian rock"
Twist And Shout,"Chaka Demus & Pliers, Jack Radics, The Taxi Gang","funana,deep ragga,old school dancehall"
Flashing Lights,Havana Brown,"australian dance,australian pop"
Caught in the Middle,A1,boy band
Folsom Prison Blues,Johnny Cash,"arkansas country,outlaw country,rock"
Don't Go Breaking My Heart,"Elton John, Kiki Dee","glam rock,mellow gold,piano rock,rock,classic uk pop"
Always on My Mind,Pet Shop Boys,"dance rock,new romantic,new wave,new wave pop,permanent wave,synthpop"
Shake Your Bon-Bon,Ricky Martin,"latin pop,mexican pop,puerto rican pop"
True Blue,John Williamson,"australian children's music,australian country,australian rock,bush ballad"
Onionskin,Boom Crash Opera,australian rock
Brand New Key,Melanie,"folk,persian pop"
The Clapping Song,The Belle Stars,new wave pop
Ready for the Weekend,Calvin Harris,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
Heal the World,Michael Jackson,"r&b,soul"
How Do I Say Goodbye,Dean Lewis,"australian pop,pop"
Yeah!,"Usher, Lil Jon, Ludacris","atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,atl hip hop,crunk,dance pop,dirty south rap,old school atlanta hip hop,pop rap,southern hip hop,trap,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap"
Speed of Sound,Coldplay,"permanent wave,pop"
Welcome To New York,Taylor Swift,pop
We Built This City,Starship,"album rock,classic rock,mellow gold,new romantic,new wave pop,soft rock,synthpop"
If You're Too Shy (Let Me Know) [Edit],The 1975,"modern alternative rock,modern rock,pop,pov: indie,rock"
Free Ride,The Edgar Winter Group,"album rock,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,heartland rock,mellow gold,soft rock"
2 Hearts,Kylie Minogue,"australian dance,australian pop,dance pop,eurodance,new wave pop"
My Eyes Adored You,Frankie Valli,"adult standards,bubblegum pop,lounge,rock-and-roll"
Child's Play,Sherbet,australian rock
In My Little Corner Of The World,Anita Bryant,deep adult standards
"Up, Up and Away",The 5th Dimension,"adult standards,bubblegum pop,folk rock,mellow gold,motown,singer-songwriter,soft rock,sunshine pop"
The Living Years,Mike + The Mechanics,"album rock,mellow gold,new romantic,new wave,new wave pop,soft rock"
SOS,ABBA,"europop,swedish pop"
Free Your Mind,En Vogue,"contemporary r&b,girl group,hip pop,new jack swing,r&b,urban contemporary"
Talk Like That,The Presets,"alternative dance,australian dance,australian indie"
I Won't Back Down,Tom Petty and the Heartbreakers,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
Monsters (feat. Demi Lovato and blackbear),"All Time Low, Demi Lovato, blackbear","modern rock,neon pop punk,pop punk,pop,post-teen pop,pop"
1985,Bowling For Soup,"neon pop punk,pop punk,texas pop punk"
#thatPOWER,"will.i.am, Justin Bieber","dance pop,pop,canadian pop,pop"
Friday I'm In Love,The Cure,"new wave,permanent wave,rock,uk post-punk"
Everybody On The Floor (Pump It) - Radio Edit,Tokyo Ghetto Pussy,german techno
The Old Lamplighter,The Browns,"nashville sound,vocal harmony group"
Back 2 Good,Matchbox Twenty,"neo mellow,pop rock,post-grunge"
Black Box,Stan Walker,"australian talent show,nz christian,nz pop"
I'm In You,Peter Frampton,"album rock,british blues,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
Let Me Down Slowly,Alec Benjamin,"alt z,pop,pov: indie"
Someday (feat. Meghan Trainor),"Michael Bublé, Meghan Trainor","adult standards,canadian pop,jazz pop,lounge,hip pop,pop"
Send in the Clowns,Judy Collins,"american folk revival,folk,folk rock,mellow gold,singer-songwriter"
In Love By Now,Jamie Foxx,"contemporary r&b,hip pop,r&b,southern hip hop,trap,urban contemporary"
Incredible,Timomatic,"australian pop,australian talent show"
Our Song - Luca Schreiner Remix,"Anne-Marie, Niall Horan, Luca Schreiner","pop,pop,german dance"
Geronimo,The Shadows,"british invasion,rock-and-roll"
Head over Feet - 2015 Remaster,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,neo mellow,pop rock,singer-songwriter"
Just the Way You Are,Bruno Mars,"dance pop,pop"
Feel So Close - Radio Edit,Calvin Harris,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
It Ain't Necessarily So - 2015 Remaster,Normie Rowe & The Playboys,australian rock
It's Four in the Morning,Faron Young,"classic country pop,honky tonk,traditional country,western swing"
I Love Rock 'N Roll,Joan Jett & the Blackhearts,"glam punk,rock"
You're So Strong,Mental As Anything,australian rock
I'll Be There For You,Bon Jovi,"glam metal,rock"
Something's Got A Hold On Me,Jessica Mauboy,"australian indigenous,australian pop,australian talent show"
Listen to Your Heart (feat. Edmée) - Furious F. Radio Edit,"DHT, Edmee, Furious F.",
Man Overboard,Do Re Mi,"australian alternative rock,australian rock"
Caught In The Crowd,Kate Miller-Heidke,"australian pop,australian singer-songwriter,lilith,piano rock"
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,"europop,new wave pop,soft rock"
Going Up The Country,Canned Heat,"blues,blues rock,classic rock,country rock,electric blues,folk rock,psychedelic rock"
Girl On Fire (feat. Nicki Minaj) - Inferno Version,"Alicia Keys, Nicki Minaj","neo soul,pop,r&b,hip pop,pop,queens hip hop,rap"
Always,Bon Jovi,"glam metal,rock"
Home,Phillip Phillips,"folk-pop,neo mellow,pop rock"
Unchained Melody,The Righteous Brothers,"adult standards,brill building pop,folk rock,rock-and-roll,rockabilly"
Alive,Natalie Bassingthwaighte,"australian dance,australian pop,australian rock"
Tired of Toein' the Line,Rocky Burnette,
When Tomorrow Comes - Remastered Version,"Eurythmics, Annie Lennox, Dave Stewart","dance rock,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop,new romantic,new wave,new wave pop,singer-songwriter,soft rock,synthpop,new wave pop,rock keyboard"
Everybody Wants To Rule The World,Tears For Fears,"new romantic,new wave,new wave pop,permanent wave,rock,sophisti-pop,synthpop"
I’ll Make Love To You,Boyz II Men,"boy band,contemporary r&b,new jack swing,r&b,urban contemporary"
Oh L'Amour - 2011 Remaster,Erasure,"new romantic,new wave,new wave pop,synthpop"
